id,time,score,city,name,gender,content
1035717031,2018-08-16 10:35,3.0,贵阳,blfwhc,女,不太喜欢看！
1035714945,2018-08-16 10:35,4.0,武汉,沐jing萱,女,真是一出好戏，张艺兴本色出演，有点小坏，越来越棒～现实的黑色幽默，末日启示录……讲真，电影有点长了，看完之后心情很复杂，要是真有这么一天我们该怎么办？
1035717027,2018-08-16 10:35,5.0,封丘,Mr.温TEL,男,还可以，惊心动魄
1035649211,2018-08-16 10:35,5.0,浠水,不是朕的事,男,电影不错，我兴的演技又提高了
1035639280,2018-08-16 10:34,4.5,北京,PkK235502019,男,好还好还好哈
1035714907,2018-08-16 10:34,4.0,淮北,AnkhRec,女,挺好看的，人性贯穿其中
1035714905,2018-08-16 10:34,4.0,珠海,Gpu762669682,女,还行，挺搞笑的
1035708412,2018-08-16 10:34,5.0,天津,VVW420812430,女,挺好看的，每个人物都很鲜活立体。
1035712120,2018-08-16 10:33,4.0,深圳,果不其然,男,嗯，暴风雪中的小山庄剧情
1035714877,2018-08-16 10:33,5.0,荣成,CTz209062090,女,昨晚看的非常好看、喜欢黄渤、喜欢他的真实、支持国产电影，支持有实力的人去拍电影。支持有实力的人去演电影。
1035708401,2018-08-16 10:33,5.0,汕头,qHa945171090,女,不错~脑洞大开
1035714876,2018-08-16 10:33,5.0,东莞,荒山道士,男,"黄渤的片子虽然还不是很成熟，但是内涵、故事情节、人物刻画都在国产片中是比较完美的了。
很喜欢，希望渤导继续加油！！"
1035713968,2018-08-16 10:33,3.5,贵阳,Tt只要有你,女,千万在手，天下我有
1035713957,2018-08-16 10:32,4.5,烟台,LoveGintonic,女,这是一部题材很宽的电影，社会阶级形成的缩影，人性的真实演绎。摇摆不定的砖家，时乖时狂的保安，见风使舵的老板，自大膨胀的王，扑克牌的霸权，鱼的垄断，技术产生的动力，最清醒的疯子，隐瞒真相的代价。你的脑海是否闪现过如下场景，砖家辟谣，战时汉奸，强权政治，资本疯狂，通货膨胀，资源掠夺，麻木看客，谎言当道。社会如此，电影亦如此。一场大火点睛之笔——唯置死地而后生，才会迎来新的开始！
1035708390,2018-08-16 10:32,5.0,南京,sYL790117620,女,有瑕疵 但不失为一部好电影 很深意的一部电影
1035611769,2018-08-16 10:32,4.0,沭阳,hhhgerry,男,剧情反转得有点生硬！
1035714825,2018-08-16 10:32,5.0,鞍山,上官春天,女,很好看，下次继续观看
1035712104,2018-08-16 10:31,4.0,吴江,qno438345232,女,挺好。。。。。。。。
1035713899,2018-08-16 10:30,4.5,德州,夜空中的星和辰,男,看起来还行吧
1035712090,2018-08-16 10:30,4.0,丽江,么么图腾,女,一出超现实的隐喻大戏，王宝强扣分。
1035713881,2018-08-16 10:30,2.0,济南,喝咖啡的小方糖糖,女,虽然完全没有新意和营养，好在还算是一个电影。
1035714736,2018-08-16 10:29,5.0,潍坊,qtZ276601419,女,喜欢黄渤 这部剧很真实的反映了人性。很赞
1034507688,2018-08-16 10:29,5.0,北京,bFe750511603,女,这么有态度的处女作品 黄渤对得起观众
1035708341,2018-08-16 10:28,4.5,西宁,rfq850895820,女,很励志，是部好片子，黄渤真棒👍👍👍
1035712061,2018-08-16 10:27,5.0,成都,AptX54,男,对人性的反映很棒，好评
1035708323,2018-08-16 10:27,4.0,广州,有容乃大,男,还是很不错的。环境会改变人，保持一份纯真很不容易，
1035714650,2018-08-16 10:26,4.5,银川,北淮371,女,一部出人意料的电影，刻画出人类社会的演变，还有内容很深刻
1035713771,2018-08-16 10:26,4.0,西安,HkF448829987,女,张艺兴黑化的真👍
